"Source:","C:\Users\morga\Documents\GitHub\lalboard\kicad\thumb_cluster_right.kicad_sch"
"Date:","8/30/2022 10:54:17 AM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","18"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"H1, H2, ","2","MountingHole_Pad","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","Mounting Hole with connection",""
"IR1, IR2, IR3, IR4, IR5, ","5","IR908-7C-F","IR908-7C-F","lalboard:IR908-7C-F","940nm Sidelooker IR LED",""
"J1, ","1","Conn_01x07","Conn_01x07","lalboard:JST_ZH_B7B-ZR_1x07_P1.50mm_Vertical","Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"PT1, PT2, PT3, PT4, PT5, ","5","PT908-7B-F","PT908-7B-F","lalboard:PT908-7C-F","940nm Sidelooker Phototransistor",""
"R1, ","1","56","R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Resistor",""
"R2, ","1","100","R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Resistor",""
"R3, ","1","120","R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Resistor",""
"R4, ","1","180","R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Resistor",""
"R5, ","1","150","R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Resistor",""
