Designator,Mid X,Mid Y,Rotation,Layer
J1,133.4,-120.6,180.0,bottom
Q2,144.0,-91.5,90.0,top
Q5,141.0,-106.7,90.0,top
D3,145.5,-95.5,180.0,top
D1,129.3,-95.5,180.0,top
Q4,130.8,-112.7,-90.0,top
D4,144.0,-112.7,90.0,top
Q3,145.5,-108.7,0.0,top
Q1,129.3,-108.7,0.0,top
D5,133.8,-106.7,-90.0,top
D2,130.8,-91.5,-90.0,top
R5,134.55,-107.1,90.0,bottom
R2,128.75,-90.3,0.0,bottom
R1,128.55,-94.3,0.0,bottom
R4,145.75,-110.4,-90.0,bottom
R3,146.05,-94.7,180.0,bottom
